gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0012300001,20231005/DALMIN,2023-10-05,12:00:00,,Etihad Arena,Abu Dhabi,3,Final,1610612750,1610612742,MIN,DAL,111,99,23-24
0012300002,20231007/MINDAL,2023-10-07,12:00:00,,Etihad Arena,Abu Dhabi,3,Final,1610612742,1610612750,DAL,MIN,96,104,23-24
0012300003,20231007/LALGSW,2023-10-07,20:30:00,,Chase Center,San Francisco,3,Final,1610612744,1610612747,GSW,LAL,125,108,23-24
0012300004,20231008/CHIMIL,2023-10-08,13:00:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612741,MIL,CHI,105,102,23-24
0012300005,20231008/PHXDET,2023-10-08,15:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612756,DET,PHX,126,130,23-24
0012300006,20231008/PHIBOS,2023-10-08,18:00:00,,TD Garden,Boston,3,Final,1610612738,1610612755,BOS,PHI,114,106,23-24
0012300007,20231008/INDMEM,2023-10-08,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612754,MEM,IND,127,122,23-24
0012300008,20231008/SACTOR,2023-10-08,20:00:00,,Rogers Arena,Vancouver,3,Final,1610612761,1610612758,TOR,SAC,112,99,23-24
0012300009,20231008/UTALAC,2023-10-08,21:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612746,1610612762,LAC,UTA,96,101,23-24
0012300010,20231009/BOSNYK,2023-10-09,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612738,NYK,BOS,114,107,23-24
0012300011,20231009/SASOKC,2023-10-09,20:00:00,,Paycom Center,Oklahoma City,3,Final,1610612760,1610612759,OKC,SAS,122,121,23-24
0012300012,20231009/BKNLAL,2023-10-09,21:00:00,,T-Mobile Arena,Las Vegas,3,Final,1610612747,1610612751,LAL,BKN,129,126,23-24
0012300013,20231010/DALRMD,2023-10-10,14:45:00,,WiZink Center,Madrid,3,Final,12315,1610612742,RMD,DAL,127,123,23-24
0012300014,20231010/CNSWAS,2023-10-10,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,15022,WAS,CNS,145,82,23-24
0012300015,20231010/CLEATL,2023-10-10,19:30:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612739,ATL,CLE,108,107,23-24
0012300016,20231010/CHAMIA,2023-10-10,19:30:00,,Kaseya Center,Miami,3,Final,1610612748,1610612766,MIA,CHA,113,109,23-24
0012300017,20231010/INDHOU,2023-10-10,20:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612754,HOU,IND,122,103,23-24
0012300018,20231010/MILMEM,2023-10-10,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612749,MEM,MIL,108,102,23-24
0012300019,20231010/ORLNOP,2023-10-10,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612753,NOP,ORL,105,122,23-24
0012300020,20231010/UTALAC,2023-10-10,22:00:00,,Climate Pledge Arena,Seattle,3,Final,1610612746,1610612762,LAC,UTA,103,98,23-24
0012300021,20231010/DENPHX,2023-10-10,22:00:00,,Footprint Center,Phoenix,3,Final,1610612756,1610612743,PHX,DEN,107,115,23-24
0012300022,20231010/NZBPOR,2023-10-10,22:00:00,,Moda Center,Portland,3,Final,1610612757,15020,POR,NZB,106,66,23-24
0012300023,20231011/BOSPHI,2023-10-11,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612738,PHI,BOS,101,112,23-24
0012300024,20231011/SACLAL,2023-10-11,22:00:00,,Honda Center,Anaheim,3,Final,1610612747,1610612758,LAL,SAC,109,101,23-24
