gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0012200001,20220930/GSWWAS,2022-09-30,06:00:00,,Saitama Super Arena,Tokyo,3,Final,1610612764,1610612744,WAS,GSW,87,96,22-23
0012200002,20220930/MRALAC,2022-09-30,22:00:00,,Climate Pledge Arena,Seattle,3,Final,1610612746,50009,LAC,MRA,121,81,22-23
0012200003,20221001/MEMMIL,2022-10-01,20:00:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612763,MIL,MEM,102,107,22-23
0012200004,20221002/WASGSW,2022-10-02,01:00:00,,Saitama Super Arena,Tokyo,3,Final,1610612744,1610612764,GSW,WAS,104,95,22-23
0012200005,20221002/CHABOS,2022-10-02,13:00:00,,TD Garden,Boston,3,Final,1610612738,1610612766,BOS,CHA,134,93,22-23
0012200006,20221002/UTATOR,2022-10-02,18:00:00,,Rogers Place,Edmonton,3,Final,1610612761,1610612762,TOR,UTA,114,82,22-23
0012200007,20221002/SASHOU,2022-10-02,19:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612759,HOU,SAS,134,96,22-23
0012200008,20221002/ADLPHX,2022-10-02,22:00:00,,Footprint Center,Phoenix,3,Final,1610612756,15019,PHX,ADL,124,134,22-23
0012200009,20221003/PHIBKN,2022-10-03,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612755,BKN,PHI,108,127,22-23
0012200010,20221003/ORLMEM,2022-10-03,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612753,MEM,ORL,109,97,22-23
0012200011,20221003/OKCDEN,2022-10-03,21:00:00,,Ball Arena,Denver,3,Final,1610612743,1610612760,DEN,OKC,101,112,22-23
0012200012,20221003/SACLAL,2022-10-03,22:30:00,,Crypto.com Arena,Los Angeles,3,Final,1610612747,1610612758,LAL,SAC,75,105,22-23
0012200013,20221003/PORLAC,2022-10-03,22:30:00,,Climate Pledge Arena,Seattle,3,Final,1610612746,1610612757,LAC,POR,102,97,22-23
0012200014,20221004/DETNYK,2022-10-04,19:00:00,,Madison Square Garden,New York,3,Final,1610612752,1610612765,NYK,DET,117,96,22-23
0012200015,20221004/MINMIA,2022-10-04,19:30:00,,FTX Arena,Miami,3,Final,1610612748,1610612750,MIA,MIN,111,121,22-23
0012200016,20221004/NOPCHI,2022-10-04,21:30:00,,United Center,Chicago,3,Final,1610612741,1610612740,CHI,NOP,125,129,22-23
0012200017,20221004/UTAPOR,2022-10-04,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612762,POR,UTA,101,118,22-23
0012200018,20221005/INDCHA,2022-10-05,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612754,CHA,IND,97,122,22-23
0012200019,20221005/CLEPHI,2022-10-05,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612739,PHI,CLE,113,112,22-23
0012200020,20221005/TORBOS,2022-10-05,19:30:00,,TD Garden,Boston,3,Final,1610612738,1610612761,BOS,TOR,119,125,22-23
0012200021,20221005/DALOKC,2022-10-05,20:00:00,,BOK Center,Tulsa,3,Final,1610612760,1610612742,OKC,DAL,96,98,22-23
0012200022,20221005/PHXLAL,2022-10-05,22:00:00,,T-Mobile Arena,Las Vegas,3,Final,1610612747,1610612756,LAL,PHX,115,119,22-23
0012200023,20221006/MILATL,2022-10-06,12:00:00,,Etihad Arena,Abu Dhabi,3,Final,1610612737,1610612749,ATL,MIL,123,113,22-23
0012200024,20221006/MIABKN,2022-10-06,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612748,BKN,MIA,80,109,22-23
0012200025,20221006/ADLOKC,2022-10-06,20:00:00,,Paycom Center,Oklahoma City,3,Final,1610612760,15019,OKC,ADL,131,98,22-23
0012200026,20221006/ORLSAS,2022-10-06,20:00:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612753,SAS,ORL,99,102,22-23
0012200027,20221006/MRAPOR,2022-10-06,22:00:00,,Moda Center,Portland,3,Final,1610612757,50009,POR,MRA,138,85,22-23
0012200028,20221006/MINLAL,2022-10-06,22:00:00,,T-Mobile Arena,Las Vegas,3,Final,1610612747,1610612750,LAL,MIN,99,114,22-23
0012200029,20221007/BOSCHA,2022-10-07,19:30:00,,Greensboro Coliseum,Greensboro,3,Final,1610612766,1610612738,CHA,BOS,103,112,22-23
0012200030,20221007/INDNYK,2022-10-07,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612754,NYK,IND,131,114,22-23
0012200031,20221007/DENCHI,2022-10-07,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612743,CHI,DEN,131,113,22-23
0012200032,20221007/TORHOU,2022-10-07,20:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612761,HOU,TOR,116,100,22-23
0012200033,20221007/MIAMEM,2022-10-07,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612748,MEM,MIA,108,111,22-23
0012200034,20221007/DETNOP,2022-10-07,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612765,NOP,DET,107,101,22-23
0012200035,20221007/ORLDAL,2022-10-07,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612753,DAL,ORL,105,110,22-23
0012200036,20221008/ATLMIL,2022-10-08,12:00:00,,Etihad Arena,Abu Dhabi,3,Final,1610612749,1610612737,MIL,ATL,109,118,22-23
0012200037,20221009/CHITOR,2022-10-09,18:00:00,,Scotiabank Arena,Toronto,3,Final,1610612761,1610612741,TOR,CHI,98,115,22-23
0012200038,20221009/MRAOKC,2022-10-09,19:00:00,,Paycom Center,Oklahoma City,3,Final,1610612760,50009,OKC,MRA,144,97,22-23
0012200039,20221009/NOPSAS,2022-10-09,19:00:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612740,SAS,NOP,97,111,22-23
0012200040,20221009/LALGSW,2022-10-09,20:30:00,,Chase Center,San Francisco,3,Final,1610612744,1610612747,GSW,LAL,121,124,22-23
0012200041,20221009/PORSAC,2022-10-09,21:00:00,,Golden 1 Center,Sacramento,3,Final,1610612758,1610612757,SAC,POR,126,94,22-23
0012200042,20221009/MINLAC,2022-10-09,22:30:00,,Crypto.com Arena,Los Angeles,3,Final,1610612746,1610612750,LAC,MIN,117,119,22-23
0012200043,20221010/WASCHA,2022-10-10,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612764,CHA,WAS,107,116,22-23
