gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0011600001,20161001/GSWTOR,2016-10-01,19:30:00,,Rogers Arena,Vancouver,3,Final,1610612761,1610612744,TOR,GSW,97,93,16-17
0011600002,20161001/DALNOP,2016-10-01,20:00:00,,CenturyLink Center,Bossier City,3,Final,1610612740,1610612742,NOP,DAL,116,102,16-17
0011600003,20161002/SDSHOU,2016-10-02,20:00:00,,Toyota Center,Houston,3,Final,1610612745,12329,HOU,SDS,131,94,16-17
0011600010,20161003/OKCRMD,2016-10-03,14:30:00,,Barclaycard Center,"Madrid, Spain",3,Final,12315,1610612760,RMD,OKC,142,137,16-17
0011600005,20161003/MILCHI,2016-10-03,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612749,CHI,MIL,91,93,16-17
0011600006,20161003/ORLMEM,2016-10-03,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612753,MEM,ORL,102,97,16-17
0011600009,20161003/CHADAL,2016-10-03,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612766,DAL,CHA,95,88,16-17
0011600004,20161003/DENTOR,2016-10-03,21:00:00,,Scotiabank Saddledome,"Calgary, Alberta",3,Final,1610612761,1610612743,TOR,DEN,106,108,16-17
0011600007,20161003/SASPHX,2016-10-03,22:00:00,,Talking Stick Resort Arena,Phoenix,3,Final,1610612756,1610612759,PHX,SAS,91,86,16-17
0011600011,20161004/BOSPHI,2016-10-04,19:00:00,,Mullins Center,Amherst,3,Final,1610612755,1610612738,PHI,BOS,92,89,16-17
0011600012,20161004/MIAWAS,2016-10-04,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612748,WAS,MIA,95,106,16-17
0011600013,20161004/INDNOP,2016-10-04,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612754,NOP,IND,96,113,16-17
0011600014,20161004/NYKHOU,2016-10-04,20:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612752,HOU,NYK,130,103,16-17
0011600015,20161004/SACLAL,2016-10-04,22:00:00,,Honda Center,Anaheim,3,Final,1610612747,1610612758,LAL,SAC,103,84,16-17
0011600016,20161004/LACGSW,2016-10-04,22:30:00,,ORACLE Arena,Oakland,3,Final,1610612744,1610612746,GSW,LAC,120,75,16-17
0011600020,20161005/OKCFCB,2016-10-05,14:30:00,,Palau Sant Jordi,"Barcelona,Spain",3,Final,12304,1610612760,FCB,OKC,89,92,16-17
0011600017,20161005/ORLCLE,2016-10-05,19:00:00,,Quicken Loans Arena,Cleveland,3,Final,1610612739,1610612753,CLE,ORL,117,102,16-17
0011600018,20161005/UTAPHX,2016-10-05,22:00:00,,Talking Stick Resort Arena,Phoenix,3,Final,1610612756,1610612762,PHX,UTA,99,104,16-17
0011600019,20161005/TORLAC,2016-10-05,22:30:00,,Staples Center,Los Angeles,3,Final,1610612746,1610612761,LAC,TOR,104,98,16-17
0011600021,20161006/WASPHI,2016-10-06,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612764,PHI,WAS,119,125,16-17
0011600022,20161006/CHIIND,2016-10-06,19:00:00,,Bankers Life Fieldhouse,Indianapolis,3,Final,1610612754,1610612741,IND,CHI,115,108,16-17
0011600024,20161006/DETBKN,2016-10-06,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612765,BKN,DET,101,94,16-17
0011600025,20161006/BOSCHA,2016-10-06,19:30:00,,Greensboro Coliseum,Greensboro,3,Final,1610612766,1610612738,CHA,BOS,92,107,16-17
0011600023,20161006/ATLMEM,2016-10-06,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612737,MEM,ATL,83,104,16-17
0011600026,20161006/SACGSW,2016-10-06,22:30:00,,SAP Center,San Jose,3,Final,1610612744,1610612758,GSW,SAC,105,96,16-17
0011600027,20161007/PHXPOR,2016-10-07,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612756,POR,PHX,115,110,16-17
0011600028,20161007/DENLAL,2016-10-07,22:30:00,,Staples Center,Los Angeles,3,Final,1610612747,1610612743,LAL,DEN,97,101,16-17
0011600029,20161008/CHABOS,2016-10-08,15:30:00,,Mohegan Sun Arena,Uncasville,3,Final,1610612738,1610612766,BOS,CHA,104,86,16-17
0011600031,20161008/BKNNYK,2016-10-08,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612751,NYK,BKN,116,98,16-17
0011600033,20161008/PHICLE,2016-10-08,19:30:00,,Quicken Loans Arena,Cleveland,3,Final,1610612739,1610612755,CLE,PHI,108,105,16-17
0011600030,20161008/INDCHI,2016-10-08,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612754,CHI,IND,121,105,16-17
0011600032,20161008/MINMIA,2016-10-08,20:30:00,,Sprint Center,Kansas City,3,Final,1610612748,1610612750,MIA,MIN,100,109,16-17
0011600034,20161008/DALMIL,2016-10-08,20:30:00,,Kohl Center,Madison,3,Final,1610612749,1610612742,MIL,DAL,88,74,16-17
0011600035,20161008/ATLSAS,2016-10-08,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612737,SAS,ATL,102,91,16-17
0011600037,20161009/NOPHOU,2016-10-09,07:30:00,,Mercedes-Benz Arena,"Shanghai, China",3,Final,1610612745,1610612740,HOU,NOP,123,117,16-17
0011600036,20161009/DENLAL,2016-10-09,21:30:00,,Toyota Arena,Ontario,3,Final,1610612747,1610612743,LAL,DEN,124,115,16-17
0011600038,20161010/MINCHA,2016-10-10,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612750,CHA,MIN,98,86,16-17
0011600039,20161010/WASNYK,2016-10-10,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612764,NYK,WAS,90,88,16-17
0011600040,20161010/CLEATL,2016-10-10,19:30:00,,Philips Arena,Atlanta,3,Final,1610612737,1610612739,ATL,CLE,99,93,16-17
0011600041,20161010/SASDET,2016-10-10,19:30:00,,Palace of Auburn Hills,Detroit,3,Final,1610612765,1610612759,DET,SAS,81,86,16-17
0011600042,20161010/UTALAC,2016-10-10,22:30:00,,Staples Center,Los Angeles,3,Final,1610612746,1610612762,LAC,UTA,94,96,16-17
0011600043,20161010/MACSAC,2016-10-10,22:30:00,,Golden 1 Center,Sacramento,3,Final,1610612758,93,SAC,MAC,135,96,16-17
0011600045,20161011/BKNMIA,2016-10-11,19:30:00,,AmericanAirlines Arena,Miami,3,Final,1610612748,1610612751,MIA,BKN,121,100,16-17
0011600044,20161011/PHIMEM,2016-10-11,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612755,MEM,PHI,121,91,16-17
0011600046,20161011/OKCDAL,2016-10-11,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612760,DAL,OKC,114,109,16-17
0011600047,20161011/PORLAL,2016-10-11,22:30:00,,Staples Center,Los Angeles,3,Final,1610612747,1610612757,LAL,POR,106,109,16-17
0011600052,20161012/HOUNOP,2016-10-12,07:30:00,,LeSports Center,"Beijing, China",3,Final,1610612740,1610612745,NOP,HOU,104,116,16-17
0011600049,20161012/SASORL,2016-10-12,19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612759,ORL,SAS,89,95,16-17
0011600048,20161012/MILIND,2016-10-12,19:30:00,,Ford Center,Evansville,3,Final,1610612754,1610612749,IND,MIL,101,83,16-17
0011600050,20161012/DENMIN,2016-10-12,20:00:00,,Pinnacle Bank Arena,Lincoln,3,Final,1610612750,1610612743,MIN,DEN,105,88,16-17
0011600051,20161012/PHXUTA,2016-10-12,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,1610612756,UTA,PHX,110,111,16-17
0011600053,20161013/PHIWAS,2016-10-13,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612755,WAS,PHI,100,79,16-17
0011600055,20161013/BOSBKN,2016-10-13,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612738,BKN,BOS,97,100,16-17
0011600056,20161013/DETATL,2016-10-13,19:30:00,,Philips Arena,Atlanta,3,Final,1610612737,1610612765,ATL,DET,94,99,16-17
0011600054,20161013/MEMOKC,2016-10-13,20:00:00,,BOK Center,Tulsa,3,Final,1610612760,1610612763,OKC,MEM,94,110,16-17
0011600059,20161013/TORCLE,2016-10-13,20:00:00,,Quicken Loans Arena,Cleveland,3,Final,1610612739,1610612761,CLE,TOR,94,119,16-17
0011600057,20161013/PORLAC,2016-10-13,22:30:00,,Staples Center,Los Angeles,3,Final,1610612746,1610612757,LAC,POR,109,108,16-17
0011600058,20161013/SACLAL,2016-10-13,22:30:00,,T-Mobile Arena,Las Vegas,3,Final,1610612747,1610612758,LAL,SAC,104,116,16-17
0011600060,20161014/SLATOR,2016-10-14,19:00:00,,Air Canada Centre,Toronto,3,Final,1610612761,12330,TOR,SLA,122,105,16-17
0011600061,20161014/INDORL,2016-10-14,19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612754,ORL,IND,114,106,16-17
0011600062,20161014/CLECHI,2016-10-14,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612739,CHI,CLE,118,108,16-17
0011600065,20161014/MIASAS,2016-10-14,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612748,SAS,MIA,100,108,16-17
